RATIOS-
[0.1534090909090909, 0.125, 0.125, 0.09090909090909091, 0.06818181818181818, 0.06818181818181818, 0.10227272727272728, 0.09090909090909091, 0.08522727272727272, 0.06818181818181818]

MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
SVM                 previous_ngram_notes4                   1                   linear              False               False               [('0.541', '0.577'), ('0.500', '0.550'), ('0.550', '0.190'), ('0.503', '0.400'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.494', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.484', '0.545')]('0.5037', '0.4329')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   rbf                 False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   rbf                 True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   rbf                 False               True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   linear              False               True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   rbf                 True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   linear              True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes5                   1                   sigmoid             True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
LogReg              previous_ngram_notes4                   1                   identity            True                False               [('0.966', '0.962'), ('0.967', '0.900'), ('1.000', '0.286'), ('0.968', '1.000'), ('0.963', '1.000'), ('0.969', '1.000'), ('0.968', '0.938'), ('0.955', '0.800'), ('0.968', '1.000'), ('0.969', '1.000')]('0.9693', '0.8886')
LogReg              previous_ngram_notes4                   1                   relu                True                False               [('0.966', '0.962'), ('0.967', '0.900'), ('1.000', '0.286'), ('0.968', '1.000'), ('0.963', '1.000'), ('0.969', '1.000'), ('0.968', '0.938'), ('0.955', '0.800'), ('0.968', '1.000'), ('0.969', '1.000')]('0.9693', '0.8886')
LogReg              previous_ngram_notes4                   1                   logistic            True                False               [('0.966', '0.962'), ('0.967', '0.900'), ('1.000', '0.286'), ('0.968', '1.000'), ('0.963', '1.000'), ('0.969', '1.000'), ('0.968', '0.938'), ('0.955', '0.800'), ('0.968', '1.000'), ('0.969', '1.000')]('0.9693', '0.8886')
LogReg              previous_ngram_notes4                   1                   tanh                True                False               [('0.966', '0.962'), ('0.967', '0.900'), ('1.000', '0.286'), ('0.968', '1.000'), ('0.963', '1.000'), ('0.969', '1.000'), ('0.968', '0.938'), ('0.955', '0.800'), ('0.968', '1.000'), ('0.969', '1.000')]('0.9693', '0.8886')
SVM                 previous_ngram_notes4                   1                   linear              True                False               [('0.959', '0.923'), ('0.947', '0.950'), ('1.000', '0.286'), ('0.962', '0.867'), ('0.963', '1.000'), ('0.963', '1.000'), ('0.962', '1.000'), ('0.962', '1.000'), ('0.962', '1.000'), ('0.963', '1.000')]('0.9643', '0.9026')


BEST:all
SVM                 previous_ngram_notes4                   1                   linear              True                False               [('0.959', '0.923'), ('0.947', '0.950'), ('1.000', '0.286'), ('0.962', '0.867'), ('0.963', '1.000'), ('0.963', '1.000'), ('0.962', '1.000'), ('0.962', '1.000'), ('0.962', '1.000'), ('0.963', '1.000')]('0.9643', '0.9026')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')


SORTED:MLP
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')


BEST:MLP
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')


SORTED:MLP_identity
MLP                 previous_ngram_notes4                   1                   identity            False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   identity            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')


BEST:MLP_identity
MLP                 previous_ngram_notes4                   1                   identity            True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.737', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7482', '0.7099')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')


SORTED:MLP_relu
MLP                 previous_ngram_notes4                   1                   relu                False               False               [('0.452', '0.538'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.497', '0.182'), ('0.491', '0.364'), ('0.436', '0.625'), ('0.471', '0.467'), ('0.487', '0.429'), ('0.472', '0.273')]('0.4833', '0.3990')
MLP                 previous_ngram_notes4                   1                   relu                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')


BEST:MLP_relu
MLP                 previous_ngram_notes4                   1                   relu                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.764', '1.000'), ('0.739', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.764', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7507', '0.7099')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')


SORTED:MLP_logistic
MLP                 previous_ngram_notes4                   1                   logistic            False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')


BEST:MLP_logistic
MLP                 previous_ngram_notes4                   1                   logistic            True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')


SORTED:MLP_tanh
MLP                 previous_ngram_notes4                   1                   tanh                False               False               [('0.452', '0.577'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.510', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.462', '0.625'), ('0.465', '0.467'), ('0.487', '0.429'), ('0.478', '0.273')]('0.4865', '0.4029')
MLP                 previous_ngram_notes4                   1                   tanh                True                True                [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')


BEST:MLP_tanh
MLP                 previous_ngram_notes4                   1                   tanh                True                False               [('0.712', '0.885'), ('0.724', '0.850'), ('0.834', '0.190'), ('0.739', '1.000'), ('0.727', '0.636'), ('0.733', '0.818'), ('0.744', '0.812'), ('0.771', '0.467'), ('0.741', '0.714'), ('0.752', '0.727')]('0.7477', '0.7099')
MODEL               DATA_TYPE           NOTES               NGRAMLENGTHVAL      ACTIVATION/KERNEL   CHORDS_IN_NRGAM     SOFTMAX             SCORES              AVG. SCORE          
SVM                 previous_ngram_notes4                   1                   rbf                 False               False               [('0.452', '0.654'), ('0.474', '0.550'), ('0.543', '0.095'), ('0.484', '0.467'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.468', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.478', '0.545')]('0.4864', '0.4378')
SVM                 previous_ngram_notes4                   1                   linear              False               False               [('0.541', '0.577'), ('0.500', '0.550'), ('0.550', '0.190'), ('0.503', '0.400'), ('0.503', '0.182'), ('0.491', '0.364'), ('0.494', '0.625'), ('0.484', '0.467'), ('0.487', '0.429'), ('0.484', '0.545')]('0.5037', '0.4329')
SVM                 previous_ngram_notes5                   1                   sigmoid             False               False               [('0.452', '0.654'), ('0.368', '0.500'), ('0.444', '0.143'), ('0.420', '0.333'), ('0.435', '0.091'), ('0.391', '0.364'), ('0.404', '0.562'), ('0.357', '0.467'), ('0.456', '0.214'), ('0.373', '0.545')]('0.4100', '0.3873')
