MODEL,DATA_TYPE,NOTES,NGRAMLENGTHVAL,ACTIVATION/KERNEL,CHORDS_IN_NRGAM,SOFTMAX,SCORES,AVG. SCORE
MLP,current_bar,5,1,identity,False,False,"[('0.503', '0.444'), ('0.497', '0.619'), ('0.553', '0.091'), ('0.494', '0.625'), ('0.543', '0.250'), ('0.506', '0.417'), ('0.478', '0.647'), ('0.506', '0.500'), ('0.509', '0.467'), ('0.525', '0.417')]","('0.5114', '0.4477')"
MLP,current_bar,5,1,identity,False,True,"[('0.456', '0.667'), ('0.477', '0.571'), ('0.546', '0.091'), ('0.487', '0.500'), ('0.506', '0.250'), ('0.494', '0.417'), ('0.471', '0.647'), ('0.487', '0.500'), ('0.491', '0.467'), ('0.481', '0.583')]","('0.4896', '0.4693')"
